title,price,bedroom,bathroom,carport,LT,LB,badges,agent,updated,location,link,kecamatan,kabupaten_kota
"Rumah Dengan Konsep Villa Full Furnish Di Jl Kaliurang Km 16, Pakem, Sleman.",7500000000.0,8.0,8.0,0.0,1000.0,400.0,"Rumah, Full Furnished, Dekat Sekolah, Dekat Tempat Wisata",DIAH ASIH T.H,2025-03-13 15:39:32.498378,"Pakem, Sleman",/properti/sleman/hos9164827/,Pakem,Sleman
Rumah Minimalis Dekat Ugm Dan Sman 4 Jogja.,1000000000.0,4.0,2.0,1.0,89.0,125.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",DIAH ASIH T.H,2025-03-13 15:39:32.498381,"Tegalrejo, Yogyakarta",/properti/yogyakarta/hos9022991/,Tegalrejo,Yogyakarta
Rumah 2 Lantai Bagus Unfurnished Shm Condongcatur Sleman,13000000000.0,6.0,5.0,3.0,780.0,650.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Mira Jogja,2025-04-11 15:39:32.498387,"Condong Catur, Sleman",/properti/sleman/hos8844567/,Condong Catur,Sleman
"Rumah 2 Lantai Di Perumahan Dekat Jogja City Mall, Mlati Jogja",3200000000.0,3.0,3.0,1.0,163.0,288.0,"Rumah, Dekat Pusat Perbelanjaan, Dekat Sekolah, Dekat Fasilitas Kesehatan",info_ propertybagusjogja,2025-04-12 06:39:32.498388,"Mlati, Sleman",/properti/sleman/hos8736908/,Mlati,Sleman
"Rumah Dengan Kolam Renang Dekat Stadion Maguwo, Tajem Jogja",7850000000.0,9.0,9.0,10.0,1163.0,800.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan, Dekat Sekolah",info_ propertybagusjogja,2025-04-06 15:39:32.498389,"Maguwoharjo, Yogyakarta",/properti/yogyakarta/hos8732173/,Maguwoharjo,Yogyakarta
Rumah Bagus Dekat Jogja City Mall siap huni,3100000000.0,3.0,3.0,0.0,701.0,250.0,"Rumah, Siap Huni, Dekat Pusat Perbelanjaan, Dekat Sekolah",Endang ERA iREA Jogja,2025-04-11 15:39:32.498392,"Mlati, Sleman",/properti/sleman/hos8614033/,Mlati,Sleman
Rumah Murah di Seturan dlm Cluster dkt Ambarrukmo Plaza &amp; UPN,2250000000.0,4.0,3.0,2.0,138.0,204.0,Rumah,Faza Jogja ID Property,2025-04-05 15:39:32.498393,"Depok, Sleman",/properti/sleman/hos8557126/,Depok,Sleman
"RUMAH MEWAH DENGAN DESAIN MINIMALIS DI HYARTA ECO VILLAGE, MAGUWOHARJO, SLEMAN",4200000000.0,4.0,2.0,0.0,160.0,210.0,"Rumah, Dekat Akses Transportasi, Dekat Pusat Perbelanjaan",RINTO TANIZAR,2025-04-05 15:39:32.498396,"Depok, Sleman",/properti/sleman/hos8347578/,Depok,Sleman
Rumah siap pakai lokasi jogja,1000000000.0,3.0,2.0,0.0,241.0,220.0,"Rumah, Siap Huni, Bebas Banjir, Dekat Sekolah",Tedjo Adhi,2025-04-12 13:39:32.498401,"Caturtunggal, Sleman",/properti/sleman/hos8163865/,Caturtunggal,Sleman
Rumah Cantik dlm Perumahan Jln Godean km 7 dkt Kampus UNISA,1600000000.0,4.0,3.0,2.0,125.0,100.0,"Rumah, Full Furnished, Dekat Sekolah",Faza Jogja ID Property,2025-04-05 15:39:32.498405,"Gamping, Sleman",/properti/sleman/hos7923388/,Gamping,Sleman
